city,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Ashville,6571452,2208876,28801,35.59214133,-82.55467477,Private room,50,2,30,4/8/2016,2.75,9,163
Ashville,6576184,2208876,28801,35.59158276,-82.55440432,Private room,50,2,16,2/20/2016,1.58,9,166
Ashville,6317859,2208876,28801,35.59243331,-82.55457952,Private room,50,2,15,10/22/2015,1.34,9,170
Ashville,6303415,2208876,28801,35.59299676,-82.55441157,Private room,54,2,24,3/20/2016,2.07,9,139
Ashville,7148635,2208876,28801,35.59259507,-82.55264417,Private room,54,2,19,3/25/2016,2.13,9,143
Ashville,6135386,2208876,28801,35.59296468,-82.55264143,Private room,54,2,26,3/17/2016,2.22,9,152
Ashville,11082196,50979208,28801,35.57485041,-82.55932437,Private room,59,1,7,4/17/2016,5.53,1,26
Ashville,1827412,7625694,28801,35.59223633,-82.55119913,Private room,59,2,138,4/10/2016,5.11,5,321
Ashville,4449084,9595908,28801,35.60717603,-82.56061208,Private room,60,1,20,8/7/2015,1.41,1,0
Ashville,5685113,29468279,28801,35.59654855,-82.56987821,Private room,60,1,26,4/10/2016,1.95,2,52
Ashville,1702227,5199086,28801,35.58264683,-82.54900402,Private room,60,1,76,4/12/2016,2.44,2,340
Ashville,10366140,10216494,28801,35.60857323,-82.55839516,Private room,60,1,3,4/10/2016,3,2,342
Ashville,9450094,10216494,28801,35.60488022,-82.56058579,Private room,60,1,26,4/18/2016,5.13,2,350
Ashville,2295996,7535860,28801,35.60206513,-82.55885412,Private room,62,1,167,4/4/2016,6.36,3,278
Ashville,2222067,11336944,28801,35.58224763,-82.5581363,Private room,65,2,9,4/4/2016,4.03,1,156
Ashville,4183263,21702976,28801,35.60363133,-82.55171803,Private room,65,2,118,4/12/2016,6.36,2,172
Ashville,4191204,21702976,28801,35.6044961,-82.55212892,Private room,65,2,163,4/17/2016,8.7,2,183
Ashville,2411109,7535860,28801,35.6004791,-82.55759304,Private room,66,1,227,4/6/2016,8.98,3,296
Ashville,2296152,7535860,28801,35.60402536,-82.56100725,Private room,66,1,273,4/17/2016,10.3,3,316
Ashville,6399802,7625694,28801,35.59084954,-82.5496978,Private room,69,2,70,4/13/2016,6.21,5,317
Ashville,1415137,7625694,28801,35.5922331,-82.55013936,Private room,69,2,150,4/16/2016,4.5,5,326
Ashville,4917118,19257625,28801,35.60774675,-82.55990161,Private room,70,1,56,4/10/2016,3.64,1,322
Ashville,2541399,12545609,28801,35.60929827,-82.54799332,Private room,70,2,21,4/5/2016,0.87,1,75
Ashville,1373040,7308139,28801,35.59223089,-82.54798085,Private room,74,1,140,4/14/2016,4.17,1,76
Ashville,8209645,5686055,28801,35.58666668,-82.54907327,Private room,75,1,54,4/17/2016,7.33,2,75
